-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-81.7803217295, 70.9133377640, -5.0000000000
-82.4235252147, 70.3302551690, -5.0000000000
-82.4235252147, 70.3302551690, -5.0000000000
-83.1789355898, 69.6211042391, -5.0000000000
-83.1789355898, 69.6211042391, -5.0000000000
-84.1554777486, 68.6645276703, -5.0000000000
-84.1554777486, 68.6645276703, -5.0000000000
-85.3644885817, 67.4161264100, -4.9999999999
-85.3644885817, 67.4161264100, -4.9999999999
-86.3922645869, 66.2970545795, -4.9999999999
-86.3922645869, 66.2970545795, -4.9999999999
-87.2395450389, 65.3330195613, -4.9999999999
-87.2395450389, 65.3330195613, -4.9999999999
-88.2288364748, 64.1580792504, -4.9999999999
-88.2288364748, 64.1580792504, -4.9999999999
-89.1108034952, 63.0639643783, -4.9999999999
-89.1108034952, 63.0639643783, -4.9999999999
-89.7149542977, 62.2880974505, -5.0000000000
-89.7149542977, 62.2880974505, -5.0000000000
-90.2405536611, 61.5950399243, -5.0000000000
-90.2405536611, 61.5950399243, -5.0000000000
-91.1538454407, 60.3492415696, -4.9999999996
-91.1538454407, 60.3492415696, -4.9999999996
-92.1227352289, 58.9671251983, -4.9999999992
-92.1227352289, 58.9671251983, -4.9999999992
-93.1992373140, 57.3535590100, -5.0000000000
-93.1992373140, 57.3535590100, -5.0000000000
-94.1184310344, 55.9059313767, -5.0000000000
-94.1184310344, 55.9059313767, -5.0000000000
-94.7282711339, 54.9073729997, -4.9999999996
-94.7282711339, 54.9073729997, -4.9999999996
-96.3388709246, 52.1086368017, -5.0000000000
-96.3388709246, 52.1086368017, -5.0000000000
-98.2448346596, 48.4421035958, -5.0000000000
-98.2448346596, 48.4421035958, -5.0000000000
-100.8199232518, 42.6576961138, -5.0000000000
-100.8199232518, 42.6576961138, -5.0000000000
-102.6175026825, 37.7306851331, -5.0000000000
-102.6175026825, 37.7306851331, -5.0000000000
-103.2068409504, 35.8566711173, -5.0000000000
-103.2068409504, 35.8566711173, -5.0000000000
-104.2086077022, 32.1875509435, -5.0000000000
-104.2086077022, 32.1875509435, -5.0000000000
-104.6699833220, 30.1807831820, -5.0000000000
-104.6699833220, 30.1807831820, -5.0000000000
-105.8712267155, 22.2077750652, -5.0000000000
-105.8712267155, 22.2077750652, -5.0000000000
-106.0439222851, 19.2842284512, -5.0000000000
-106.0439222851, 19.2842284512, -5.0000000000
-106.0116297147, 14.9553466434, -5.0000000000
-106.0116297147, 14.9553466434, -5.0000000000
-105.6992816926, 11.3484419117, -5.0000000000
-105.6992816926, 11.3484419117, -5.0000000000
-105.4416062383, 9.5757852089, -5.0000000000
-105.4416062383, 9.5757852089, -5.0000000000
-104.7309345798, 6.1633430343, -5.0000000000
-104.7309345798, 6.1633430343, -5.0000000000
-103.4498366709, 2.0762019647, -5.0000000000
-103.4498366709, 2.0762019647, -5.0000000000
-102.7557156654, 0.3856661002, -5.0000000000
-102.7557156654, 0.3856661002, -5.0000000000
-100.8271388357, -3.2701039715, -5.0000000000
-100.8271388357, -3.2701039715, -5.0000000000
-99.3094648641, -5.4368261372, -5.0000000000
-99.3094648641, -5.4368261372, -5.0000000000
-97.3465461537, -7.5991996574, -5.0000000000
-97.3465461537, -7.5991996574, -5.0000000000
-96.1135027925, -8.6570712048, -5.0000000000
-96.1135027925, -8.6570712048, -5.0000000000
-93.4331058031, -10.2621332277, -5.0000000000
-93.4331058031, -10.2621332277, -5.0000000000
-91.8059538311, -10.7909783640, -5.0000000000
-91.8059538311, -10.7909783640, -5.0000000000
